,nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
409,2,1,2,1,0.187125951,5.816195136,0.102908436,-0.361541345,0.001692759,0.009845419,10.72152725,-20.71479317,84.09332403
410,2,1,2,2,0.187125951,5.816195136,0.102908436,-0.134791541,0.002481648,0.014433751,10.72152725,-7.722986411,84.09332403
411,2,1,2,3,0.187125951,5.816195136,0.102908436,0.134791541,0.002481648,0.014433751,10.72152725,7.722986411,84.09332403
412,2,1,2,4,0.187125951,5.816195136,0.102908436,0.361541345,0.001692759,0.009845419,10.72152725,20.71479317,84.09332403
413,2,1,2,5,0.187125951,5.816195136,0.102908436,0.472568889,0.000298172,0.001734226,10.72152725,27.07620289,84.09332403
414,2,1,3,0,0.187125951,5.816195136,0.185040568,-0.387334829,0.000244393,0.001421436,10.72152725,-22.19265094,79.33650242
415,2,1,3,1,0.187125951,5.816195136,0.185040568,-0.296332573,0.001387448,0.008069667,10.72152725,-16.97860576,79.33650242
416,2,1,3,2,0.187125951,5.816195136,0.185040568,-0.110480101,0.00203405,0.011830432,10.72152725,-6.330043484,79.33650242
417,2,1,3,3,0.187125951,5.816195136,0.185040568,0.110480101,0.00203405,0.011830432,10.72152725,6.330043484,79.33650242
418,2,1,3,4,0.187125951,5.816195136,0.185040568,0.296332573,0.001387448,0.008069667,10.72152725,16.97860576,79.33650242
419,2,1,3,5,0.187125951,5.816195136,0.185040568,0.387334829,0.000244393,0.001421436,10.72152725,22.19265094,79.33650242
420,2,1,4,0,0.187125951,5.816195136,0.254122961,-0.237619797,0.000102268,0.00059481,10.72152725,-13.6146115,75.27837729
421,2,1,4,1,0.187125951,5.816195136,0.254122961,-0.181792291,0.000580588,0.00337681,10.72152725,-10.41593101,75.27837729
422,2,1,4,2,0.187125951,5.816195136,0.254122961,-0.067776655,0.000851163,0.00495053,10.72152725,-3.883316283,75.27837729
423,2,1,4,3,0.187125951,5.816195136,0.254122961,0.067776655,0.000851163,0.00495053,10.72152725,3.883316283,75.27837729
424,2,1,4,4,0.187125951,5.816195136,0.254122961,0.181792291,0.000580588,0.00337681,10.72152725,10.41593101,75.27837729
425,2,1,4,5,0.187125951,5.816195136,0.254122961,0.237619797,0.000102268,0.00059481,10.72152725,13.6146115,75.27837729
576,3,1,0,0,0.336472824,5.816195136,0,-0.506267563,3.84E-05,0.000223227,19.27847275,-29.00699468,90
577,3,1,0,1,0.336472824,5.816195136,0,-0.387322695,0.00021789,0.001267289,19.27847275,-22.19195571,90
578,3,1,0,2,0.336472824,5.816195136,0,-0.144403465,0.000319434,0.001857893,19.27847275,-8.273709082,90
579,3,1,0,3,0.336472824,5.816195136,0,0.144403465,0.000319434,0.001857893,19.27847275,8.273709082,90
580,3,1,0,4,0.336472824,5.816195136,0,0.387322695,0.00021789,0.001267289,19.27847275,22.19195571,90
581,3,1,0,5,0.336472824,5.816195136,0,0.506267563,3.84E-05,0.000223227,19.27847275,29.00699468,90
582,3,1,1,0,0.336472824,5.816195136,0.033826043,-0.502729965,0.000216367,0.001258434,19.27847275,-28.80430522,88.06154073
583,3,1,1,1,0.336472824,5.816195136,0.033826043,-0.384616236,0.001228344,0.007144286,19.27847275,-22.03688706,88.06154073
584,3,1,1,2,0.336472824,5.816195136,0.033826043,-0.14339443,0.001800797,0.010473789,19.27847275,-8.215895658,88.06154073
585,3,1,1,3,0.336472824,5.816195136,0.033826043,0.14339443,0.001800797,0.010473789,19.27847275,8.215895658,88.06154073
586,3,1,1,4,0.336472824,5.816195136,0.033826043,0.384616236,0.001228344,0.007144286,19.27847275,22.03688706,88.06154073
587,3,1,1,5,0.336472824,5.816195136,0.033826043,0.502729965,0.000216367,0.001258434,19.27847275,28.80430522,88.06154073
588,3,1,2,0,0.336472824,5.816195136,0.102908436,-0.472568889,0.000298172,0.001734226,19.27847275,-27.07620289,84.09332403
589,3,1,2,1,0.336472824,5.816195136,0.102908436,-0.361541345,0.001692759,0.009845419,19.27847275,-20.71479317,84.09332403
590,3,1,2,2,0.336472824,5.816195136,0.102908436,-0.134791541,0.002481648,0.014433751,19.27847275,-7.722986411,84.09332403
591,3,1,2,3,0.336472824,5.816195136,0.102908436,0.134791541,0.002481648,0.014433751,19.27847275,7.722986411,84.09332403
592,3,1,2,4,0.336472824,5.816195136,0.102908436,0.361541345,0.001692759,0.009845419,19.27847275,20.71479317,84.09332403
593,3,1,2,5,0.336472824,5.816195136,0.102908436,0.472568889,0.000298172,0.001734226,19.27847275,27.07620289,84.09332403
594,3,1,3,0,0.336472824,5.816195136,0.185040568,-0.387334829,0.000244393,0.001421436,19.27847275,-22.19265094,79.33650242
595,3,1,3,1,0.336472824,5.816195136,0.185040568,-0.296332573,0.001387448,0.008069667,19.27847275,-16.97860576,79.33650242
596,3,1,3,2,0.336472824,5.816195136,0.185040568,-0.110480101,0.00203405,0.011830432,19.27847275,-6.330043484,79.33650242
597,3,1,3,3,0.336472824,5.816195136,0.185040568,0.110480101,0.00203405,0.011830432,19.27847275,6.330043484,79.33650242
598,3,1,3,4,0.336472824,5.816195136,0.185040568,0.296332573,0.001387448,0.008069667,19.27847275,16.97860576,79.33650242
599,3,1,3,5,0.336472824,5.816195136,0.185040568,0.387334829,0.000244393,0.001421436,19.27847275,22.19265094,79.33650242
600,3,1,4,0,0.336472824,5.816195136,0.254122961,-0.237619797,0.000102268,0.00059481,19.27847275,-13.6146115,75.27837729
601,3,1,4,1,0.336472824,5.816195136,0.254122961,-0.181792291,0.000580588,0.00337681,19.27847275,-10.41593101,75.27837729
602,3,1,4,2,0.336472824,5.816195136,0.254122961,-0.067776655,0.000851163,0.00495053,19.27847275,-3.883316283,75.27837729
603,3,1,4,3,0.336472824,5.816195136,0.254122961,0.067776655,0.000851163,0.00495053,19.27847275,3.883316283,75.27837729
604,3,1,4,4,0.336472824,5.816195136,0.254122961,0.181792291,0.000580588,0.00337681,19.27847275,10.41593101,75.27837729
605,3,1,4,5,0.336472824,5.816195136,0.254122961,0.237619797,0.000102268,0.00059481,19.27847275,13.6146115,75.27837729
756,4,1,0,0,0.462090403,5.816195136,0,-0.506267563,2.62E-05,0.000152266,26.47582986,-29.00699468,90
757,4,1,0,1,0.462090403,5.816195136,0,-0.387322695,0.000148625,0.000864432,26.47582986,-22.19195571,90
758,4,1,0,2,0.462090403,5.816195136,0,-0.144403465,0.00021789,0.001267289,26.47582986,-8.273709082,90
759,4,1,0,3,0.462090403,5.816195136,0,0.144403465,0.00021789,0.001267289,26.47582986,8.273709082,90
760,4,1,0,4,0.462090403,5.816195136,0,0.387322695,0.000148625,0.000864432,26.47582986,22.19195571,90
761,4,1,0,5,0.462090403,5.816195136,0,0.506267563,2.62E-05,0.000152266,26.47582986,29.00699468,90
762,4,1,1,0,0.462090403,5.816195136,0.033826043,-0.502729965,0.000147586,0.000858392,26.47582986,-28.80430522,88.06154073
763,4,1,1,1,0.462090403,5.816195136,0.033826043,-0.384616236,0.000837867,0.004873196,26.47582986,-22.03688706,88.06154073
764,4,1,1,2,0.462090403,5.816195136,0.033826043,-0.14339443,0.001228344,0.007144286,26.47582986,-8.215895658,88.06154073
765,4,1,1,3,0.462090403,5.816195136,0.033826043,0.14339443,0.001228344,0.007144286,26.47582986,8.215895658,88.06154073
766,4,1,1,4,0.462090403,5.816195136,0.033826043,0.384616236,0.000837867,0.004873196,26.47582986,22.03688706,88.06154073
767,4,1,1,5,0.462090403,5.816195136,0.033826043,0.502729965,0.000147586,0.000858392,26.47582986,28.80430522,88.06154073
768,4,1,2,0,0.462090403,5.816195136,0.102908436,-0.472568889,0.000203386,0.001182935,26.47582986,-27.07620289,84.09332403
769,4,1,2,1,0.462090403,5.816195136,0.102908436,-0.361541345,0.00115465,0.006715668,26.47582986,-20.71479317,84.09332403
770,4,1,2,2,0.462090403,5.816195136,0.102908436,-0.134791541,0.001692759,0.009845419,26.47582986,-7.722986411,84.09332403
